wkt_geom,Site code,Site name,Source,Date,Longitude,Latitude,Latnoneg,Number of,Number o_1,SIGNALT Sc,SIGNALT _1,WKT,East,North,Year
Point (375643.99599999998463318 5429086),ARTH01,Arthur River at Pykes Bridge,"Department of Primary Industries, Parks, Water and Environment",6/11/2013,145.5150765,-41.28009237,41.28009237,4,23,5.9,6.6,POINT (145.5150765 -41.28009237),375643.996,5429086,2013
Point (330725.99800000002142042 5446514.00100000016391277),ARTH02,Arthur River at Kanunnah Bridge,"Department of Primary Industries, Parks, Water and Environment",14/03/1996,144.9838137,-41.11503455,41.11503455,105,22,4.5,5.8,POINT (144.9838137 -41.11503455),330725.998,5446514.001,1996
Point (330725.99800000002142042 5446514.00100000016391277),ARTH02,Arthur River at Kanunnah Bridge,"Department of Primary Industries, Parks, Water and Environment",16/03/1995,144.9838137,-41.11503455,41.11503455,42,24,4.5,5.2,POINT (144.9838137 -41.11503455),330725.998,5446514.001,1995
Point (330725.99800000002142042 5446514.00100000016391277),ARTH02,Arthur River at Kanunnah Bridge,"Department of Primary Industries, Parks, Water and Environment",25/10/1994,144.9838137,-41.11503455,41.11503455,29,22,4.8,6.2,POINT (144.9838137 -41.11503455),330725.998,5446514.001,1994
Point (330725.99800000002142042 5446514.00100000016391277),ARTH02,Arthur River at Kanunnah Bridge,"Department of Primary Industries, Parks, Water and Environment",5/10/1995,144.9838137,-41.11503455,41.11503455,49,23,4.7,6.3,POINT (144.9838137 -41.11503455),330725.998,5446514.001,1995
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",11/03/2010,145.196454,-41.06210192,41.06210192,39,16,4.7,5.6,POINT (145.196454 -41.06210192),348457.994,5452782,2010
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",12/03/2009,145.196454,-41.06210192,41.06210192,27,17,4.7,5.8,POINT (145.196454 -41.06210192),348457.994,5452782,2009
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",13/03/1996,145.196454,-41.06210192,41.06210192,98,24,4.6,6.2,POINT (145.196454 -41.06210192),348457.994,5452782,1996
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",13/04/2016,145.196454,-41.06210192,41.06210192,44,18,4.9,5.5,POINT (145.196454 -41.06210192),348457.994,5452782,2016
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",15/03/2012,145.196454,-41.06210192,41.06210192,20,14,4.9,6.4,POINT (145.196454 -41.06210192),348457.994,5452782,2012
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",15/10/2008,145.196454,-41.06210192,41.06210192,7,17,3.7,5.6,POINT (145.196454 -41.06210192),348457.994,5452782,2008
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",16/03/1995,145.196454,-41.06210192,41.06210192,50,28,4.7,5.9,POINT (145.196454 -41.06210192),348457.994,5452782,1995
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",17/03/2020,145.196454,-41.06210192,41.06210192,88,13,4.4,6.2,POINT (145.196454 -41.06210192),348457.994,5452782,2020
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",18/03/2004,145.196454,-41.06210192,41.06210192,86,28,4.5,6,POINT (145.196454 -41.06210192),348457.994,5452782,2004
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",19/03/2008,145.196454,-41.06210192,41.06210192,39,19,5,6.4,POINT (145.196454 -41.06210192),348457.994,5452782,2008
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",19/03/2014,145.196454,-41.06210192,41.06210192,35,16,4.6,6.1,POINT (145.196454 -41.06210192),348457.994,5452782,2014
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",21/09/2006,145.196454,-41.06210192,41.06210192,92,25,4.5,6.3,POINT (145.196454 -41.06210192),348457.994,5452782,2006
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",22/11/2005,145.196454,-41.06210192,41.06210192,24,26,4,5.8,POINT (145.196454 -41.06210192),348457.994,5452782,2005
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",23/03/2007,145.196454,-41.06210192,41.06210192,80,29,4.5,5.8,POINT (145.196454 -41.06210192),348457.994,5452782,2007
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",25/10/1994,145.196454,-41.06210192,41.06210192,32,23,5,6.3,POINT (145.196454 -41.06210192),348457.994,5452782,1994
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",26/10/2004,145.196454,-41.06210192,41.06210192,39,23,4.7,5.9,POINT (145.196454 -41.06210192),348457.994,5452782,2004
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",28/11/2013,145.196454,-41.06210192,41.06210192,24,15,4.7,5.9,POINT (145.196454 -41.06210192),348457.994,5452782,2013
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",29/10/2015,145.196454,-41.06210192,41.06210192,30,18,4.9,6.2,POINT (145.196454 -41.06210192),348457.994,5452782,2015
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",30/03/2006,145.196454,-41.06210192,41.06210192,69,27,4.9,6.2,POINT (145.196454 -41.06210192),348457.994,5452782,2006
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",30/10/2003,145.196454,-41.06210192,41.06210192,35,28,4.1,6,POINT (145.196454 -41.06210192),348457.994,5452782,2003
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",4/11/2009,145.196454,-41.06210192,41.06210192,24,20,4.6,5.8,POINT (145.196454 -41.06210192),348457.994,5452782,2009
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",5/03/2014,145.196454,-41.06210192,41.06210192,968,33,4.3,5.6,POINT (145.196454 -41.06210192),348457.994,5452782,2014
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",5/09/2007,145.196454,-41.06210192,41.06210192,6,17,4.8,5.6,POINT (145.196454 -41.06210192),348457.994,5452782,2007
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",5/10/1995,145.196454,-41.06210192,41.06210192,29,25,4.5,6,POINT (145.196454 -41.06210192),348457.994,5452782,1995
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",5/11/2019,145.196454,-41.06210192,41.06210192,52,18,4.2,5.4,POINT (145.196454 -41.06210192),348457.994,5452782,2019
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",6/04/2005,145.196454,-41.06210192,41.06210192,73,27,5.1,5.7,POINT (145.196454 -41.06210192),348457.994,5452782,2005
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",6/10/2011,145.196454,-41.06210192,41.06210192,22,17,4.6,5.6,POINT (145.196454 -41.06210192),348457.994,5452782,2011
Point (348457.9940000000060536 5452782),ARTH03,Arthur River at Tayatea Bridge,"Department of Primary Industries, Parks, Water and Environment",9/12/1998,145.196454,-41.06210192,41.06210192,43,26,4.7,5.9,POINT (145.196454 -41.06210192),348457.994,5452782,1998
Point (360847.99499999999534339 5447652),ARTH04,Arthur River at Rabalga Rd,"Department of Primary Industries, Parks, Water and Environment",9/12/1998,145.342689,-41.11050732,41.11050732,24,29,4.1,5.4,POINT (145.342689 -41.11050732),360847.995,5447652,1998
Point (366618 5445631),ARTH05,Arthur River at Hilders Bridge,"Department of Primary Industries, Parks, Water and Environment",10/12/1998,145.4109454,-41.12967351,41.12967351,30,32,4.2,5.6,POINT (145.4109454 -41.12967351),366618,5445631,1998
Point (368176.99599999998463318 5440599),ARTH06,Arthur River below Keith River,"Department of Primary Industries, Parks, Water and Environment",8/12/1998,145.4284299,-41.17523935,41.17523935,4,23,4.3,5.5,POINT (145.4284299 -41.17523935),368176.996,5440599,1998
Point (370137.00199999997857958 5441129),ARTH07,Arthur River above Johnnys Creek,"Department of Primary Industries, Parks, Water and Environment",8/12/1998,145.4519009,-41.1707833,41.1707833,9,25,5,6.1,POINT (145.4519009 -41.1707833),370137.002,5441129,1998
Point (375337.99800000002142042 5436017),ARTH09,Arthur River us Hellyer River Confluence,"Department of Primary Industries, Parks, Water and Environment",7/12/1998,145.51284,-41.21763288,41.21763288,3,26,4.4,6.3,POINT (145.51284 -41.21763288),375337.998,5436017,1998
Point (334672.99699999997392297 5432628),ARTH10,Horton River at Sumac Rd,"Department of Primary Industries, Parks, Water and Environment",13/03/1996,145.0270495,-41.24085788,41.24085788,98,24,4.7,6.2,POINT (145.0270495 -41.24085788),334672.997,5432628,1996
Point (334672.99699999997392297 5432628),ARTH10,Horton River at Sumac Rd,"Department of Primary Industries, Parks, Water and Environment",16/03/1995,145.0270495,-41.24085788,41.24085788,24,28,4.2,5.8,POINT (145.0270495 -41.24085788),334672.997,5432628,1995
Point (334672.99699999997392297 5432628),ARTH10,Horton River at Sumac Rd,"Department of Primary Industries, Parks, Water and Environment",25/10/1994,145.0270495,-41.24085788,41.24085788,55,28,4.1,6,POINT (145.0270495 -41.24085788),334672.997,5432628,1994
Point (334672.99699999997392297 5432628),ARTH10,Horton River at Sumac Rd,"Department of Primary Industries, Parks, Water and Environment",4/03/2014,145.0270495,-41.24085788,41.24085788,125,26,4.3,6,POINT (145.0270495 -41.24085788),334672.997,5432628,2014
Point (334672.99699999997392297 5432628),ARTH10,Horton River at Sumac Rd,"Department of Primary Industries, Parks, Water and Environment",5/10/1995,145.0270495,-41.24085788,41.24085788,120,26,4.3,6,POINT (145.0270495 -41.24085788),334672.997,5432628,1995
Point (328629.99300000001676381 5447164),ARTH11,Stephens Rivulet us Arthur River,"Department of Primary Industries, Parks, Water and Environment",1/10/1997,144.959045,-41.10874353,41.10874353,75,32,5,6.5,POINT (144.959045 -41.10874353),328629.993,5447164,1997
Point (328629.99300000001676381 5447164),ARTH11,Stephens Rivulet us Arthur River,"Department of Primary Industries, Parks, Water and Environment",4/03/2014,144.959045,-41.10874353,41.10874353,223,33,4.3,6,POINT (144.959045 -41.10874353),328629.993,5447164,2014
Point (328629.99300000001676381 5447164),ARTH11,Stephens Rivulet us Arthur River,"Department of Primary Industries, Parks, Water and Environment",8/04/1997,144.959045,-41.10874353,41.10874353,127,29,5,6,POINT (144.959045 -41.10874353),328629.993,5447164,1997
Point (340578.99499999999534339 5442322),ARTH12,Rapid River at Rapid River Rd,"Department of Primary Industries, Parks, Water and Environment",13/03/1996,145.100018,-41.15476909,41.15476909,99,30,4.8,6.3,POINT (145.100018 -41.15476909),340578.995,5442322,1996
Point (340578.99499999999534339 5442322),ARTH12,Rapid River at Rapid River Rd,"Department of Primary Industries, Parks, Water and Environment",16/03/1995,145.100018,-41.15476909,41.15476909,78,26,4.7,6.2,POINT (145.100018 -41.15476909),340578.995,5442322,1995
Point (340578.99499999999534339 5442322),ARTH12,Rapid River at Rapid River Rd,"Department of Primary Industries, Parks, Water and Environment",25/10/1994,145.100018,-41.15476909,41.15476909,31,31,4.5,6.4,POINT (145.100018 -41.15476909),340578.995,5442322,1994
Point (340578.99499999999534339 5442322),ARTH12,Rapid River at Rapid River Rd,"Department of Primary Industries, Parks, Water and Environment",5/10/1995,145.100018,-41.15476909,41.15476909,65,28,4.2,6.3,POINT (145.100018 -41.15476909),340578.995,5442322,1995
Point (351022.9940000000060536 5442154),ARTH13,Little Rapid River at Tayatea Road,"Department of Primary Industries, Parks, Water and Environment",9/12/1998,145.2243897,-41.15826729,41.15826729,50,31,4.2,5.8,POINT (145.2243897 -41.15826729),351022.994,5442154,1998
Point (348063.99300000001676381 5447220),ARTH14,Lawson Rivulet at Tayatea Rd,"Department of Primary Industries, Parks, Water and Environment",2/10/1997,145.1903933,-41.11210649,41.11210649,66,25,4.5,5.8,POINT (145.1903933 -41.11210649),348063.993,5447220,1997
Point (348063.99300000001676381 5447220),ARTH14,Lawson Rivulet at Tayatea Rd,"Department of Primary Industries, Parks, Water and Environment",27/03/1997,145.1903933,-41.11210649,41.11210649,63,23,4.6,5.5,POINT (145.1903933 -41.11210649),348063.993,5447220,1997
Point (351930.99599999998463318 5450697),ARTH15,Holder Rivulet at Holder Rd,"Department of Primary Industries, Parks, Water and Environment",2/10/1997,145.2372668,-41.08151434,41.08151434,68,22,4.6,6.4,POINT (145.2372668 -41.08151434),351930.996,5450697,1997
Point (351930.99599999998463318 5450697),ARTH15,Holder Rivulet at Holder Rd,"Department of Primary Industries, Parks, Water and Environment",27/03/1997,145.2372668,-41.08151434,41.08151434,83,20,4.8,6.3,POINT (145.2372668 -41.08151434),351930.996,5450697,1997
Point (356286.99699999997392297 5449831.00100000016391277),ARTH16,Providence Creek at Holder Rd,"Department of Primary Industries, Parks, Water and Environment",2/10/1997,145.2888994,-41.09009339,41.09009339,82,28,4.5,6.1,POINT (145.2888994 -41.09009339),356286.997,5449831.001,1997
Point (356286.99699999997392297 5449831.00100000016391277),ARTH16,Providence Creek at Holder Rd,"Department of Primary Industries, Parks, Water and Environment",27/03/1997,145.2888994,-41.09009339,41.09009339,78,26,4.1,5.5,POINT (145.2888994 -41.09009339),356286.997,5449831.001,1997
Point (356286.99699999997392297 5449831.00100000016391277),ARTH16,Providence Creek at Holder Rd,"Department of Primary Industries, Parks, Water and Environment",9/12/1998,145.2888994,-41.09009339,41.09009339,28,29,4.6,6.2,POINT (145.2888994 -41.09009339),356286.997,5449831.001,1998
Point (366313.00199999997857958 5446965.00100000016391277),ARTH17,Cann Creek at Arthur River confluence,"Department of Primary Industries, Parks, Water and Environment",10/12/1998,145.4076036,-41.11761125,41.11761125,43,36,4.7,6.1,POINT (145.4076036 -41.11761125),366313.002,5446965.001,1998
Point (367845.99900000001071021 5447270),ARTH18,Cann Creek off Keith River Rd,"Department of Primary Industries, Parks, Water and Environment",10/12/1998,145.4259227,-41.11511575,41.11511575,45,30,4.9,6,POINT (145.4259227 -41.11511575),367845.999,5447270,1998
Point (368904.99499999999534339 5440203),ARTH19,Keith River us Arthur River confluence,"Department of Primary Industries, Parks, Water and Environment",10/12/1998,145.4370211,-41.17892325,41.17892325,36,29,4.5,6.2,POINT (145.4370211 -41.17892325),368904.995,5440203,1998
Point (369116.99699999997392297 5439025),ARTH20,Keith River at Farquhars Rd,"Department of Primary Industries, Parks, Water and Environment",15/03/1995,145.4392959,-41.18956494,41.18956494,55,26,5,6.3,POINT (145.4392959 -41.18956494),369116.997,5439025,1995
Point (369116.99699999997392297 5439025),ARTH20,Keith River at Farquhars Rd,"Department of Primary Industries, Parks, Water and Environment",19/10/1994,145.4392959,-41.18956494,41.18956494,81,32,5.2,6.5,POINT (145.4392959 -41.18956494),369116.997,5439025,1994
Point (369116.99699999997392297 5439025),ARTH20,Keith River at Farquhars Rd,"Department of Primary Industries, Parks, Water and Environment",25/03/1996,145.4392959,-41.18956494,41.18956494,240,28,4.8,6.6,POINT (145.4392959 -41.18956494),369116.997,5439025,1996
Point (369116.99699999997392297 5439025),ARTH20,Keith River at Farquhars Rd,"Department of Primary Industries, Parks, Water and Environment",3/10/1995,145.4392959,-41.18956494,41.18956494,120,32,4.6,6.3,POINT (145.4392959 -41.18956494),369116.997,5439025,1995
Point (369116.99699999997392297 5439025),ARTH20,Keith River at Farquhars Rd,"Department of Primary Industries, Parks, Water and Environment",8/12/1998,145.4392959,-41.18956494,41.18956494,52,32,4.8,6.4,POINT (145.4392959 -41.18956494),369116.997,5439025,1998
Point (369894.00199999997857958 5441048),ARTH21,Johnny's Creek above Arthur River,"Department of Primary Industries, Parks, Water and Environment",8/12/1998,145.4489879,-41.17147371,41.17147371,11,25,4.8,6.1,POINT (145.4489879 -41.17147371),369894.002,5441048,1998
Point (369953.00199999997857958 5439580),ARTH22,Johnny's Creek above Farquhars Rd,"Department of Primary Industries, Parks, Water and Environment",8/12/1998,145.4493792,-41.18470201,41.18470201,42,27,4.7,6.2,POINT (145.4493792 -41.18470201),369953.002,5439580,1998
Point (370159 5439830),ARTH23,Unnamed trib off Johnnys Ck,"Department of Primary Industries, Parks, Water and Environment",8/12/1998,145.4518876,-41.18248388,41.18248388,25,11,7.1,6.8,POINT (145.4518876 -41.18248388),370159,5439830,1998
Point (372759.99599999998463318 5438828),ARTH24,Campbell Rivulet at Barrets Rd,"Department of Primary Industries, Parks, Water and Environment",11/12/1998,145.4826808,-41.1919193,41.1919193,24,30,4.9,6.2,POINT (145.4826808 -41.1919193),372759.996,5438828,1998
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",10/10/1995,145.6763762,-41.37838549,41.37838549,159,30,5.5,6.2,POINT (145.6763762 -41.37838549),389319.003,5418392,1995
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",12/03/1996,145.6763762,-41.37838549,41.37838549,51,33,5.1,6,POINT (145.6763762 -41.37838549),389319.003,5418392,1996
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",14/03/1995,145.6763762,-41.37838549,41.37838549,69,29,4.9,5.9,POINT (145.6763762 -41.37838549),389319.003,5418392,1995
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",18/10/1994,145.6763762,-41.37838549,41.37838549,21,26,5,6.2,POINT (145.6763762 -41.37838549),389319.003,5418392,1994
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",19/04/2005,145.6763762,-41.37838549,41.37838549,26,23,5.7,6.4,POINT (145.6763762 -41.37838549),389319.003,5418392,2005
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",28/03/2006,145.6763762,-41.37838549,41.37838549,17,22,5.6,6.7,POINT (145.6763762 -41.37838549),389319.003,5418392,2006
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",7/11/2005,145.6763762,-41.37838549,41.37838549,53,27,5.6,6.5,POINT (145.6763762 -41.37838549),389319.003,5418392,2005
Point (389319.00300000002607703 5418392),ARTH25,Hellyer River at Ridgley Highway,"Department of Primary Industries, Parks, Water and Environment",8/11/2004,145.6763762,-41.37838549,41.37838549,70,24,5.7,6.4,POINT (145.6763762 -41.37838549),389319.003,5418392,2004
Point (393157.00099999998928979 5418515.00100000016391277),ARTH26,Wey River at Wey RdBLAC14,"Department of Primary Industries, Parks, Water and Environment",26/03/1997,145.722285,-41.37779656,41.37779656,127,25,4.8,5.8,POINT (145.722285 -41.37779656),393157.001,5418515.001,1997
Point (393157.00099999998928979 5418515.00100000016391277),ARTH26,Wey River at Wey RdBLAC14,"Department of Primary Industries, Parks, Water and Environment",30/09/1997,145.722285,-41.37779656,41.37779656,84,31,4.2,5.9,POINT (145.722285 -41.37779656),393157.001,5418515.001,1997
Point (383882 5430017),ARTH35,Hellyer River at Hellyer Gorge,"Department of Primary Industries, Parks, Water and Environment",3/03/2014,145.6135946,-41.27293524,41.27293524,259,30,5.1,6.4,POINT (145.6135946 -41.27293524),383882,5430017,2014
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",10/05/2005,144.9808207,-41.3272175,41.3272175,75,16,5.1,5.8,POINT (144.9808207 -41.3272175),331021.992,5422951,2005
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",11/11/2004,144.9808207,-41.3272175,41.3272175,26,15,6.1,6.9,POINT (144.9808207 -41.3272175),331021.992,5422951,2004
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",14/11/2005,144.9808207,-41.3272175,41.3272175,40,22,5.1,6.8,POINT (144.9808207 -41.3272175),331021.992,5422951,2005
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",16/10/2006,144.9808207,-41.3272175,41.3272175,17,21,4.9,6.3,POINT (144.9808207 -41.3272175),331021.992,5422951,2006
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",27/10/2008,144.9808207,-41.3272175,41.3272175,74,20,4.9,6.4,POINT (144.9808207 -41.3272175),331021.992,5422951,2008
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",30/03/2006,144.9808207,-41.3272175,41.3272175,46,21,5.6,6.7,POINT (144.9808207 -41.3272175),331021.992,5422951,2006
Point (331021.99200000002747402 5422951),ARTH41,Lindsay River at Heemskirk Road,"Department of Primary Industries, Parks, Water and Environment",31/10/2007,144.9808207,-41.3272175,41.3272175,62,20,5.2,6.5,POINT (144.9808207 -41.3272175),331021.992,5422951,2007
Point (377146.99599999998463318 5410910),ARTH44,Waratah River at Waratah,"Department of Primary Industries, Parks, Water and Environment",17/04/2005,145.529337,-41.44399195,41.44399195,17,23,5,5.9,POINT (145.529337 -41.44399195),377146.996,5410910,2005
